"filename", "language", "C", "C++", "Markdown", "YAML", "CSS", "HTML", "Makefile", "comment", "blank", "total"
"/Users/vijaysatheesh/Advanced C Programming/Section 16/passrefsim.c", "C", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/vijaysatheesh/Advanced C Programming/Section 16/voidptrs.c", "C", 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"/Users/vijaysatheesh/Advanced C Programming/Section 17/ChallengeStatic/libstringfns/libstringfns.h", "C++", 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"/Users/vijaysatheesh/Advanced C Programming/Section 17/ChallengeStatic/libstringfns/main.c", "C", 65, 0, 0, 0, 0, 0, 0, 0, 7, 72
"/Users/vijaysatheesh/Advanced C Programming/Section 17/ChallengeStatic/test.c", "C", 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/vijaysatheesh/Advanced C Programming/Section 17/dynamicloading.c", "C", 18, 0, 0, 0, 0, 0, 0, 0, 9, 27
"/Users/vijaysatheesh/Advanced C Programming/Section 17/dynlib/dynLib.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vijaysatheesh/Advanced C Programming/Section 17/dynlib/libdynlib.so.dSYM/Contents/Resources/Relocations/aarch64/libdynlib.so.yml", "YAML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/vijaysatheesh/Advanced C Programming/Section 17/dynlib/main.c", "C", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/vijaysatheesh/Advanced C Programming/Section 17/myLib/main.c", "C", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/vijaysatheesh/Advanced C Programming/Section 17/myLib/myLib.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vijaysatheesh/Advanced C Programming/Section 17/mycode.c", "C", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/vijaysatheesh/Advanced C Programming/Section 17/sharedlib.c", "C", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/vijaysatheesh/Advanced C Programming/Section 18/assertfn.c", "C", 12, 0, 0, 0, 0, 0, 0, 1, 2, 15
"/Users/vijaysatheesh/Advanced C Programming/Section 18/atexitfn.c", "C", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/vijaysatheesh/Advanced C Programming/Section 18/clk.c", "C", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/vijaysatheesh/Advanced C Programming/Section 18/clng1.c", "C", 12, 0, 0, 0, 0, 0, 0, 1, 3, 16
"/Users/vijaysatheesh/Advanced C Programming/Section 18/clng2.c", "C", 40, 0, 0, 0, 0, 0, 0, 1, 4, 45
"/Users/vijaysatheesh/Advanced C Programming/Section 18/generalutils.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vijaysatheesh/Advanced C Programming/Section 18/getenvfn.c", "C", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/vijaysatheesh/Advanced C Programming/Section 18/localtimefn.c", "C", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/vijaysatheesh/Advanced C Programming/Section 18/memcopy.c", "C", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/vijaysatheesh/Advanced C Programming/Section 18/qsort.c", "C", 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/Users/vijaysatheesh/Advanced C Programming/Section 18/random.c", "C", 16, 0, 0, 0, 0, 0, 0, 6, 4, 26
"/Users/vijaysatheesh/Advanced C Programming/Section 18/staticassert.c", "C", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/vijaysatheesh/Advanced C Programming/Section 18/systemcmd.c", "C", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/vijaysatheesh/Advanced C Programming/Section 18/timefn.c", "C", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/vijaysatheesh/Advanced C Programming/Section 19/linkedlist.c", "C", 66, 0, 0, 0, 0, 0, 0, 0, 12, 78
"/Users/vijaysatheesh/Advanced C Programming/Section 20/alarmme.c", "C", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/vijaysatheesh/Advanced C Programming/Section 20/clng1.c", "C", 36, 0, 0, 0, 0, 0, 0, 0, 11, 47
"/Users/vijaysatheesh/Advanced C Programming/Section 20/clng2.c", "C", 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/vijaysatheesh/Advanced C Programming/Section 20/forking.c", "C", 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"/Users/vijaysatheesh/Advanced C Programming/Section 20/processid.c", "C", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/vijaysatheesh/Advanced C Programming/Section 20/sigactionc.c", "C", 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/vijaysatheesh/Advanced C Programming/Section 20/signalhandling.c", "C", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/vijaysatheesh/Advanced C Programming/Section 20/signals.c", "C", 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/vijaysatheesh/Advanced C Programming/Section 21/threadargs.c", "C", 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/Users/vijaysatheesh/Advanced C Programming/Section 21/threadmultiarg.c", "C", 28, 0, 0, 0, 0, 0, 0, 0, 9, 37
"/Users/vijaysatheesh/Advanced C Programming/Section 21/threadreturnarg.c", "C", 33, 0, 0, 0, 0, 0, 0, 0, 10, 43
"/Users/vijaysatheesh/Advanced C Programming/Section 21/threads.c", "C", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/vijaysatheesh/Advanced C Programming/Section 6/complexnumberclng.c", "C", 11, 0, 0, 0, 0, 0, 0, 1, 6, 18
"/Users/vijaysatheesh/Advanced C Programming/Section 6/complexnumbers.c", "C", 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/Users/vijaysatheesh/Advanced C Programming/Section 6/designatedinit.c", "C", 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/vijaysatheesh/Advanced C Programming/Section 6/flexarr.c", "C", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/vijaysatheesh/Advanced C Programming/Section 6/sumofarray.c", "C", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/vijaysatheesh/Advanced C Programming/Section 6/variablelenarr.c", "C", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/vijaysatheesh/Advanced C Programming/Section 7/typequalifiers.c", "C", 14, 0, 0, 0, 0, 0, 0, 1, 4, 19
"/Users/vijaysatheesh/Advanced C Programming/Section 8/bintodec.c", "C", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/vijaysatheesh/Advanced C Programming/Section 8/bitfieldchallenge.c", "C", 38, 0, 0, 0, 0, 0, 0, 0, 9, 47
"/Users/vijaysatheesh/Advanced C Programming/Section 8/bitfields.c", "C", 25, 0, 0, 0, 0, 0, 0, 1, 7, 33
"/Users/vijaysatheesh/Advanced C Programming/Section 8/bitmask.c", "C", 10, 0, 0, 0, 0, 0, 0, 8, 3, 21
"/Users/vijaysatheesh/Advanced C Programming/Section 8/bitwisechallenge.c", "C", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/vijaysatheesh/Advanced C Programming/Section 8/dectobin.c", "C", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/vijaysatheesh/Advanced C Programming/Section 8/functions.h", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/vijaysatheesh/Advanced C Programming/Section 8/logicalops.c", "C", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/vijaysatheesh/Advanced C Programming/Section 8/packing.c", "C", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/vijaysatheesh/Advanced C Programming/Section 8/shifting.c", "C", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/vijaysatheesh/Advanced C Programming/Section 9/errorusingsjmpclng.c", "C", 52, 0, 0, 0, 0, 0, 0, 3, 14, 69
"/Users/vijaysatheesh/Advanced C Programming/Section 9/goto.c", "C", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/vijaysatheesh/Advanced C Programming/Section 9/gotoclng.c", "C", 63, 0, 0, 0, 0, 0, 0, 0, 5, 68
"/Users/vijaysatheesh/Advanced C Programming/Section 9/setjump.c", "C", 21, 0, 0, 0, 0, 0, 0, 0, 9, 30
"/Users/vijaysatheesh/Advanced C Programming/counter.c", "C", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/vijaysatheesh/Advanced C Programming/fun.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vijaysatheesh/Advanced C Programming/functions.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/vijaysatheesh/Advanced C Programming/index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/vijaysatheesh/Advanced C Programming/main.c", "C", 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/Users/vijaysatheesh/Advanced C Programming/style.css", "CSS", 0, 0, 0, 0, 174, 0, 0, 1, 40, 215
"Total", "-", 1927, 42, 2467, 37, 174, 2914, 7, 42, 1207, 8817
