Date : 2024-07-31 09:16:08
Directory : /Users/vijaysatheesh/Advanced C Programming
Total : 113 files,  7568 codes, 42 comments, 1207 blanks, all 8817 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/vijaysatheesh/Advanced C Programming/Section 14/macroclng4.c                                                                     | C        |         18 |          0 |          4 |         22 |
| /Users/vijaysatheesh/Advanced C Programming/Section 14/macros.c                                                                         | C        |          9 |          0 |          3 |         12 |
| /Users/vijaysatheesh/Advanced C Programming/Section 15/coretest.c                                                                       | C        |          7 |          0 |          2 |          9 |
| /Users/vijaysatheesh/Advanced C Programming/Section 15/debugme.c                                                                        | C        |         21 |          0 |          3 |         24 |
| /Users/vijaysatheesh/Advanced C Programming/Section 15/gdbdebug.c                                                                       | C        |         21 |          3 |          7 |         31 |
| /Users/vijaysatheesh/Advanced C Programming/Section 15/hello.c                                                                          | C        |          7 |          0 |          2 |          9 |
| /Users/vijaysatheesh/Advanced C Programming/Section 15/profiling.c                                                                      | C        |         26 |          0 |          4 |         30 |
| /Users/vijaysatheesh/Advanced C Programming/Section 16/clng2.c                                                                          | C        |         16 |          4 |          4 |         24 |
| /Users/vijaysatheesh/Advanced C Programming/Section 16/doublepointers.c                                                                 | C        |         14 |          0 |          3 |         17 |
| /Users/vijaysatheesh/Advanced C Programming/Section 16/funcclng.c                                                                       | C        |         21 |          0 |          5 |         26 |
| /Users/vijaysatheesh/Advanced C Programming/Section 16/functionptrs.c                                                                   | C        |         29 |          0 |          4 |         33 |
| /Users/vijaysatheesh/Advanced C Programming/Section 16/passrefsim.c                                                                     | C        |         24 |          0 |          5 |         29 |
| /Users/vijaysatheesh/Advanced C Programming/Section 16/voidptrs.c                                                                       | C        |         14 |          2 |          3 |         19 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/ChallengeStatic/libstringfns/libstringfns.h                                      | C++      |          6 |          1 |          3 |         10 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/ChallengeStatic/libstringfns/main.c                                              | C        |         65 |          0 |          7 |         72 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/ChallengeStatic/test.c                                                           | C        |         13 |          0 |          7 |         20 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/dynamicloading.c                                                                 | C        |         18 |          0 |          9 |         27 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/dynlib/dynLib.h                                                                  | C++      |          1 |          0 |          0 |          1 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/dynlib/libdynlib.so.dSYM/Contents/Resources/Relocations/aarch64/libdynlib.so.yml | YAML     |          7 |          0 |          1 |          8 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/dynlib/main.c                                                                    | C        |          5 |          0 |          2 |          7 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/myLib/main.c                                                                     | C        |          4 |          0 |          1 |          5 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/myLib/myLib.h                                                                    | C++      |          1 |          0 |          0 |          1 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/mycode.c                                                                         | C        |          6 |          0 |          2 |          8 |
| /Users/vijaysatheesh/Advanced C Programming/Section 17/sharedlib.c                                                                      | C        |          6 |          0 |          2 |          8 |
| /Users/vijaysatheesh/Advanced C Programming/Section 18/assertfn.c                                                                       | C        |         12 |          1 |          2 |         15 |
| /Users/vijaysatheesh/Advanced C Programming/Section 18/atexitfn.c                                                                       | C        |         24 |          0 |          5 |         29 |
| /Users/vijaysatheesh/Advanced C Programming/Section 18/clk.c                                                                            | C        |         16 |          0 |          3 |         19 |
| /Users/vijaysatheesh/Advanced C Programming/Section 18/clng1.c                                                                          | C        |         12 |          1 |          3 |         16 |
| /Users/vijaysatheesh/Advanced C Programming/Section 18/clng2.c                                                                          | C        |         40 |          1 |          4 |         45 |
